Number,Digimon,Stage,Type,Attribute,Memory,EquipSlots,Lv50_HP,Lv50_SP,Lv50_Atk,Lv50_Def,Lv50_Int,Lv50_Spd,Memory_zscore
1,Kuramon,Baby,Free,Neutral,2,0,590,77,79,69,68,95,1.5125924061513651
2,Pabumon,Baby,Free,Neutral,2,0,950,62,76,76,69,68,1.5125924061513651
3,Punimon,Baby,Free,Neutral,2,0,870,50,97,87,50,75,1.5125924061513651
4,Botamon,Baby,Free,Neutral,2,0,690,68,77,95,76,61,1.5125924061513651
5,Poyomon,Baby,Free,Neutral,2,0,540,98,54,59,95,86,1.5125924061513651
6,Koromon,In-Training,Free,Fire,3,0,940,52,109,93,52,76,1.3611507056561138
7,Tanemon,In-Training,Free,Plant,3,0,1030,64,85,82,73,69,1.3611507056561138
8,Tsunomon,In-Training,Free,Earth,3,0,930,54,107,92,54,76,1.3611507056561138
9,Tsumemon,In-Training,Free,Dark,3,0,930,64,108,64,54,93,1.3611507056561138
10,Tokomon,In-Training,Free,Neutral,3,0,640,86,76,74,74,103,1.3611507056561138
11,Nyaromon,In-Training,Free,Light,3,0,540,107,54,64,103,94,1.3611507056561138
12,Pagumon,In-Training,Free,Dark,3,0,550,103,60,63,102,93,1.3611507056561138
13,Yokomon,In-Training,Free,Plant,3,0,1040,64,82,82,75,69,1.3611507056561138
14,Bukamon,In-Training,Free,Water,3,0,830,93,54,74,103,69,1.3611507056561138
15,Motimon,In-Training,Free,Neutral,3,0,1030,63,82,81,78,69,1.3611507056561138
16,Wanyamon,In-Training,Free,Wind,3,0,830,82,79,75,75,82,1.3611507056561138
17,Agumon,Rookie,Vaccine,Fire,5,1,1030,59,131,103,54,86,1.0582673046656113
18,Agumon (Blk),Rookie,Virus,Fire,5,1,1020,56,124,108,56,85,1.0582673046656113
19,Armadillomon,Rookie,Free,Earth,4,1,1160,85,67,111,65,72,1.2097090051608625
20,Impmon,Rookie,Virus,Dark,5,1,530,114,83,65,114,102,1.0582673046656113
21,Elecmon,Rookie,Data,Electric,4,1,930,93,82,79,79,90,1.2097090051608625
22,Otamamon,Rookie,Virus,Water,4,1,930,105,52,75,113,78,1.2097090051608625
23,Gaomon,Rookie,Data,Neutral,5,1,1030,69,118,74,66,101,1.0582673046656113
24,Gazimon,Rookie,Virus,Dark,4,1,970,71,123,64,59,102,1.2097090051608625
25,Gabumon,Rookie,Data,Fire,5,1,980,88,94,81,79,91,1.0582673046656113
